Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;2.0933e+001;
     2.002;-1.4856e-006;2.0920e+001;
     4.066;3.8617e-007;2.0926e+001;
     6.068;-2.8687e-006;2.0918e+001;
     8.010;-6.4761e-006;2.0899e+001;
    10.012;-4.9161e-006;2.0893e+001;
    12.015;-1.2090e-005;2.0898e+001;
    14.018;2.6627e-006;2.0874e+001;
    16.020;9.3860e-007;2.0870e+001;
    18.023;-1.4137e-005;2.0867e+001;
    20.086;-1.2334e-005;2.0862e+001;
    22.028;-1.2240e-005;2.0836e+001;
    24.091;-1.2355e-005;2.0841e+001;
    26.033;-7.6143e-006;2.0810e+001;
    28.035;-1.0530e-005;2.0806e+001;
    30.038;-1.0110e-005;2.0799e+001;
    32.040;-6.8942e-006;2.0789e+001;
    34.043;-6.3242e-006;2.0776e+001;
    36.045;-5.2750e-006;2.0773e+001;
    38.048;-2.7810e-006;2.0747e+001;
    40.111;-7.7686e-006;2.0736e+001;
    42.053;-1.1686e-005;2.0727e+001;
    44.116;-2.5200e-006;2.0702e+001;
    46.058;-2.2979e-006;2.0692e+001;
    48.061;-4.3486e-006;2.0679e+001;
    50.063;-2.8453e-006;2.0663e+001;
    52.066;-5.6693e-006;2.0653e+001;
    54.068;-1.1590e-005;2.0646e+001;
    56.010;-8.1663e-006;2.0631e+001;
    58.013;-1.6253e-005;2.0626e+001;
    60.015;-1.6424e-005;2.0595e+001;
    62.018;-1.2637e-005;2.0600e+001;
    64.020;-1.1199e-005;2.0583e+001;
    66.023;-1.5416e-005;2.0582e+001;
    68.025;-1.8179e-005;2.0570e+001;
    70.028;-1.6105e-005;2.0548e+001;
    72.091;-1.9661e-005;2.0544e+001;
    74.033;-2.1151e-005;2.0521e+001;
    76.035;-2.5549e-005;2.0530e+001;
    78.099;-2.0611e-005;2.0509e+001;
    80.040;-2.6821e-005;2.0514e+001;
    82.043;-3.1144e-005;2.0504e+001;
    84.106;-2.7327e-005;2.0499e+001;
    86.048;-3.2320e-005;2.0482e+001;
    88.051;-3.0199e-005;2.0501e+001;
    90.053;-2.8014e-005;2.0491e+001;
    92.056;-3.7068e-005;2.0469e+001;
    94.058;-4.0132e-005;2.0473e+001;
    96.061;-4.2219e-005;2.0468e+001;
    98.063;-3.9921e-005;2.0473e+001;
   100.066;-4.3161e-005;2.0476e+001;
   102.068;-3.1420e-005;2.0471e+001;
   104.010;-2.5710e-005;2.0481e+001;
   106.013;-3.4677e-005;2.0473e+001;
   108.015;-3.7445e-005;2.0474e+001;
   110.078;-3.4368e-005;2.0464e+001;
   112.081;-2.6590e-005;2.0463e+001;
   114.023;-3.2939e-005;2.0467e+001;
   116.025;-3.5293e-005;2.0485e+001;
   118.028;-3.0549e-005;2.0473e+001;
   120.030;-2.4979e-005;2.0488e+001;
   122.033;-2.9235e-005;2.0480e+001;
   124.036;1.6817e-005;2.0491e+001;
   126.038;7.4333e-005;2.0494e+001;
   128.041;1.5461e-004;2.0495e+001;
   130.043;3.1993e-004;2.0488e+001;
   132.046;6.5025e-004;2.0501e+001;
   134.048;1.2022e-003;2.0494e+001;
   136.051;1.8422e-003;2.0505e+001;
   138.053;2.4181e-003;2.0516e+001;
   140.056;2.8568e-003;2.0511e+001;
   142.058;3.1715e-003;2.0517e+001;
   144.061;3.4066e-003;2.0520e+001;
   146.063;3.5710e-003;2.0529e+001;
   148.066;3.6878e-003;2.0520e+001;
   150.008;3.7640e-003;2.0530e+001;
   152.010;3.8329e-003;2.0549e+001;
   154.074;3.8777e-003;2.0548e+001;
   156.015;3.9119e-003;2.0555e+001;
   158.018;3.9446e-003;2.0558e+001;
   160.020;3.9697e-003;2.0560e+001;
   162.084;3.9883e-003;2.0569e+001;
   164.026;4.0007e-003;2.0577e+001;
   166.028;4.0171e-003;2.0576e+001;
   168.031;4.0271e-003;2.0571e+001;
   170.033;4.0358e-003;2.0581e+001;
   172.036;4.0388e-003;2.0584e+001;
   174.038;4.0517e-003;2.0573e+001;
   176.041;4.0492e-003;2.0607e+001;
   178.043;4.0458e-003;2.0597e+001;
   180.046;4.0577e-003;2.0614e+001;
   182.048;4.0673e-003;2.0617e+001;
   184.051;4.0620e-003;2.0620e+001;
   186.114;4.0639e-003;2.0620e+001;
   188.056;4.0691e-003;2.0623e+001;
   190.119;4.0757e-003;2.0630e+001;
   192.061;4.0783e-003;2.0652e+001;
   194.064;4.0732e-003;2.0646e+001;
   196.066;4.0779e-003;2.0656e+001;
   198.008;4.0746e-003;2.0655e+001;
   200.010;4.0765e-003;2.0660e+001;
   202.013;4.0738e-003;2.0666e+001;
   204.016;4.0715e-003;2.0673e+001;
   206.079;4.0697e-003;2.0664e+001;
   208.021;4.0687e-003;2.0682e+001;
   210.023;4.0629e-003;2.0684e+001;
   212.026;4.0664e-003;2.0701e+001;
   214.028;4.0664e-003;2.0714e+001;
   216.091;4.0637e-003;2.0721e+001;
   218.033;4.0637e-003;2.0711e+001;
   220.036;4.0534e-003;2.0713e+001;
   222.038;4.0576e-003;2.0729e+001;
   224.041;4.0481e-003;2.0742e+001;
   226.043;4.0504e-003;2.0735e+001;
   228.046;4.0525e-003;2.0752e+001;
   230.048;4.0512e-003;2.0740e+001;
   232.051;4.0524e-003;2.0754e+001;
   234.054;4.0498e-003;2.0776e+001;
   236.056;4.0524e-003;2.0759e+001;
   238.059;4.0418e-003;2.0761e+001;
   240.061;4.0516e-003;2.0771e+001;
   242.064;4.0367e-003;2.0785e+001;
   244.066;4.0316e-003;2.0792e+001;
   246.008;4.0232e-003;2.0801e+001;
   248.011;3.9947e-003;2.0800e+001;
   250.013;3.9470e-003;2.0795e+001;
   252.016;3.8516e-003;2.0810e+001;
   254.018;3.6837e-003;2.0820e+001;
   256.021;3.4231e-003;2.0808e+001;
   258.023;3.1277e-003;2.0814e+001;
   260.026;2.8350e-003;2.0824e+001;
   262.028;2.5117e-003;2.0823e+001;
   264.031;2.2057e-003;2.0831e+001;
   266.033;1.9502e-003;2.0837e+001;
   268.036;1.7278e-003;2.0850e+001;
   270.099;1.4932e-003;2.0850e+001;
   272.041;1.2974e-003;2.0850e+001;
   274.044;1.1312e-003;2.0841e+001;
   276.046;9.7639e-004;2.0848e+001;
   278.049;8.6435e-004;2.0844e+001;
   280.051;7.9450e-004;2.0855e+001;
   282.054;6.8500e-004;2.0839e+001;
   284.056;5.7443e-004;2.0837e+001;
   286.059;4.8211e-004;2.0844e+001;
   288.061;4.0312e-004;2.0845e+001;
   290.064;3.3481e-004;2.0850e+001;
   292.066;2.6704e-004;2.0848e+001;
   294.008;2.0937e-004;2.0824e+001;
   296.011;1.6490e-004;2.0827e+001;
   298.013;1.2837e-004;2.0821e+001;
   300.016;9.1887e-005;2.0795e+001;
   302.018;5.8612e-005;2.0799e+001;
   304.021;4.5702e-005;2.0785e+001;
   306.023;1.3065e-005;2.0787e+001;
   308.026;-7.9213e-006;2.0780e+001;
   310.028;-2.4095e-005;2.0771e+001;
   312.092;-4.3331e-005;2.0753e+001;
   314.034;-5.8024e-005;2.0749e+001;
   316.036;-7.0873e-005;2.0725e+001;
   318.039;-7.4873e-005;2.0718e+001;
   320.041;-8.7858e-005;2.0709e+001;
   322.044;-9.5627e-005;2.0698e+001;
   324.046;-1.0175e-004;2.0687e+001;
   326.109;-1.0684e-004;2.0682e+001;
   328.051;-1.0703e-004;2.0663e+001;
   330.054;-1.1890e-004;2.0660e+001;
   332.056;-1.1324e-004;2.0627e+001;
   334.059;-1.1818e-004;2.0632e+001;
   336.061;-1.1481e-004;2.0617e+001;
   338.125;-1.1434e-004;2.0613e+001;
   340.006;-1.1481e-004;2.0589e+001;
   342.008;-1.2216e-004;2.0586e+001;
   344.011;-1.2274e-004;2.0585e+001;
   346.013;-1.2491e-004;2.0557e+001;
   348.016;-1.2124e-004;2.0539e+001;
   350.079;-1.2024e-004;2.0538e+001;
   352.021;-1.2955e-004;2.0535e+001;
   354.024;-1.3052e-004;2.0509e+001;
   356.026;-1.2985e-004;2.0507e+001;
   358.029;-1.2618e-004;2.0520e+001;
   360.031;-1.2581e-004;2.0492e+001;
   362.034;-1.3352e-004;2.0488e+001;
   364.036;-1.3239e-004;2.0497e+001;
   366.099;-1.3570e-004;2.0496e+001;
   368.041;-1.3922e-004;2.0475e+001;
   370.044;-1.4701e-004;2.0467e+001;
   372.046;-1.5159e-004;2.0475e+001;
   374.049;-1.6021e-004;2.0483e+001;
   376.051;-1.5720e-004;2.0471e+001;
   378.054;-1.6204e-004;2.0463e+001;
   380.057;-1.6288e-004;2.0464e+001;
   382.059;-1.6454e-004;2.0458e+001;
   384.062;-1.7340e-004;2.0476e+001;
   386.125;-1.7478e-004;2.0466e+001;
