Time,Refractive Index
8.598799999999999955e+01,4.903500000000000062e-05
8.798999999999999488e+01,9.185900000000000261e-05
8.999299999999999500e+01,1.570200000000000111e-04
9.199500000000000455e+01,2.127099999999999878e-04
9.399800000000000466e+01,2.842499999999999975e-04
9.600000000000000000e+01,3.253400000000000259e-04
9.800300000000000011e+01,3.509200000000000080e-04
1.000060000000000002e+02,4.075999999999999871e-04
1.020079999999999956e+02,4.473799999999999891e-04
1.040109999999999957e+02,4.786999999999999806e-04
1.060130000000000052e+02,5.009899999999999857e-04
1.080160000000000053e+02,5.147100000000000373e-04
1.100180000000000007e+02,5.213799999999999988e-04
1.120210000000000008e+02,5.498400000000000076e-04
1.140229999999999961e+02,5.528799999999999513e-04
1.160259999999999962e+02,5.689199999999999943e-04
1.180280000000000058e+02,5.801200000000000497e-04
1.200310000000000059e+02,5.868299999999999905e-04
1.220330000000000013e+02,5.938599999999999825e-04
1.240360000000000014e+02,6.031699999999999865e-04
1.260379999999999967e+02,6.101499999999999502e-04
1.280409999999999968e+02,6.275900000000000272e-04
1.300440000000000111e+02,6.266800000000000105e-04
1.320459999999999923e+02,6.342299999999999500e-04
1.339879999999999995e+02,6.471499999999999822e-04
1.359900000000000091e+02,6.699300000000000047e-04
1.380540000000000020e+02,6.482400000000000141e-04
1.399960000000000093e+02,6.459799999999999917e-04
1.419979999999999905e+02,6.448800000000000192e-04
1.440010000000000048e+02,6.684899999999999913e-04
1.460029999999999859e+02,6.363500000000000449e-04
1.480060000000000002e+02,6.576800000000000051e-04
1.500080000000000098e+02,6.666299999999999787e-04
1.520109999999999957e+02,6.543599999999999894e-04
1.540130000000000052e+02,6.661700000000000000e-04
1.560159999999999911e+02,6.608099999999999564e-04
1.580180000000000007e+02,6.697800000000000281e-04
1.600209999999999866e+02,6.893100000000000529e-04
1.620229999999999961e+02,6.762400000000000442e-04
1.640260000000000105e+02,6.819699999999999504e-04
1.660279999999999916e+02,6.627399999999999871e-04
1.680310000000000059e+02,6.936899999999999534e-04
1.700339999999999918e+02,6.840200000000000273e-04
1.720360000000000014e+02,7.100900000000000267e-04
1.740389999999999873e+02,7.195100000000000280e-04
1.760409999999999968e+02,7.223699999999999566e-04
1.780440000000000111e+02,6.872000000000000070e-04
1.799859999999999900e+02,7.022699999999999559e-04
