Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;1.8642e+001;
     2.003;1.6743e-005;1.8630e+001;
     4.005;2.2739e-005;1.8642e+001;
     6.008;3.5231e-005;1.8633e+001;
     8.010;2.9107e-005;1.8641e+001;
    10.013;4.2675e-005;1.8634e+001;
    12.016;4.4207e-005;1.8631e+001;
    14.018;4.5640e-005;1.8648e+001;
    16.021;4.2453e-005;1.8655e+001;
    18.023;5.4664e-005;1.8647e+001;
    20.026;5.6510e-005;1.8632e+001;
    22.028;4.7381e-005;1.8650e+001;
    24.031;5.6198e-005;1.8647e+001;
    26.033;4.8540e-005;1.8658e+001;
    28.036;6.5284e-005;1.8658e+001;
    30.038;8.3643e-005;1.8653e+001;
    32.041;8.9800e-005;1.8660e+001;
    33.983;9.5447e-005;1.8652e+001;
    35.985;9.7015e-005;1.8660e+001;
    37.988;8.1687e-005;1.8653e+001;
    39.990;8.9105e-005;1.8661e+001;
    41.993;9.2740e-005;1.8667e+001;
    43.995;9.2416e-005;1.8663e+001;
    45.998;1.1919e-004;1.8667e+001;
    48.000;9.8563e-005;1.8658e+001;
    50.003;9.9534e-005;1.8656e+001;
    52.066;1.0264e-004;1.8661e+001;
    54.008;1.3403e-004;1.8655e+001;
    56.011;1.1636e-004;1.8660e+001;
    58.074;1.0993e-004;1.8655e+001;
    60.016;1.0948e-004;1.8638e+001;
    62.018;1.1050e-004;1.8644e+001;
    64.021;1.0081e-004;1.8648e+001;
    66.023;1.1079e-004;1.8644e+001;
    68.026;1.4641e-004;1.8634e+001;
    70.028;1.3914e-004;1.8638e+001;
    72.031;1.5957e-004;1.8638e+001;
    74.033;1.4694e-004;1.8643e+001;
    76.036;1.2670e-004;1.8634e+001;
    78.039;1.3304e-004;1.8628e+001;
    79.980;1.3583e-004;1.8608e+001;
    81.983;1.4383e-004;1.8613e+001;
    83.985;1.7802e-004;1.8609e+001;
    85.988;1.7327e-004;1.8626e+001;
    87.991;1.3200e-004;1.8625e+001;
    89.993;1.7498e-004;1.8609e+001;
    91.996;1.5111e-004;1.8612e+001;
    93.998;1.6346e-004;1.8622e+001;
    96.001;1.8426e-004;1.8618e+001;
    98.003;1.4876e-004;1.8613e+001;
   100.006;1.8117e-004;1.8626e+001;
   102.008;1.4396e-004;1.8610e+001;
   104.011;1.6017e-004;1.8618e+001;
   106.013;1.4380e-004;1.8611e+001;
   108.016;1.9081e-004;1.8604e+001;
