Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;1.9872e+001;
     2.002;9.4878e-007;1.9856e+001;
     4.005;8.3389e-007;1.9855e+001;
     6.007;-3.4946e-006;1.9848e+001;
     8.010;3.6443e-006;1.9855e+001;
    10.012;1.1273e-006;1.9856e+001;
    12.015;-2.5548e-006;1.9854e+001;
    14.017;-1.6758e-006;1.9860e+001;
    16.020;-9.8868e-006;1.9862e+001;
    18.083;-1.7249e-005;1.9860e+001;
    20.086;-2.4515e-005;1.9860e+001;
    22.088;-2.1402e-005;1.9858e+001;
    24.030;-2.8803e-005;1.9856e+001;
    26.033;-2.8684e-005;1.9859e+001;
    28.035;-2.5508e-005;1.9858e+001;
    30.038;-2.2764e-005;1.9849e+001;
    32.040;-1.9874e-005;1.9845e+001;
    34.043;-2.3468e-005;1.9857e+001;
    36.045;-3.1930e-005;1.9832e+001;
    38.048;-3.9977e-005;1.9851e+001;
    40.050;-4.6873e-005;1.9848e+001;
    42.053;-4.4816e-005;1.9850e+001;
    44.055;-5.1268e-005;1.9850e+001;
    46.058;-4.3925e-005;1.9844e+001;
    48.061;-4.0371e-005;1.9861e+001;
    50.063;-5.2811e-005;1.9847e+001;
    52.005;-5.4112e-005;1.9849e+001;
    54.007;-5.2197e-005;1.9839e+001;
    56.010;-4.7074e-005;1.9847e+001;
    58.013;-4.9422e-005;1.9838e+001;
    60.015;-4.3868e-005;1.9843e+001;
    62.018;-4.3249e-005;1.9835e+001;
    64.020;-5.9749e-005;1.9832e+001;
    66.023;-5.9460e-005;1.9848e+001;
    68.086;-6.3705e-005;1.9839e+001;
    70.088;-6.7970e-005;1.9831e+001;
    72.091;-5.7879e-005;1.9852e+001;
    74.033;-4.9612e-005;1.9843e+001;
    76.035;-5.8574e-005;1.9852e+001;
    78.038;-5.7004e-005;1.9842e+001;
    80.040;-6.7197e-005;1.9852e+001;
    82.043;-6.0649e-005;1.9842e+001;
    84.045;-6.5022e-005;1.9855e+001;
    86.048;-7.6464e-005;1.9850e+001;
    88.051;-7.2631e-005;1.9839e+001;
    90.053;-7.5181e-005;1.9862e+001;
    92.056;-7.7742e-005;1.9845e+001;
    94.058;-7.8658e-005;1.9843e+001;
    96.061;-8.0065e-005;1.9865e+001;
    98.063;-7.9251e-005;1.9836e+001;
   100.005;-8.0887e-005;1.9834e+001;
   102.008;-7.4572e-005;1.9847e+001;
   104.010;-6.8743e-005;1.9849e+001;
   106.013;-8.1806e-005;1.9854e+001;
   108.015;-8.5627e-005;1.9835e+001;
   110.018;-8.1057e-005;1.9844e+001;
   112.020;-8.5460e-005;1.9848e+001;
   114.023;-8.8000e-005;1.9847e+001;
   116.025;-7.8069e-005;1.9849e+001;
   118.028;-8.8170e-005;1.9833e+001;
   120.030;-8.7171e-005;1.9835e+001;
   122.033;-8.6057e-005;1.9845e+001;
   124.036;-9.4133e-005;1.9829e+001;
   126.038;-9.1582e-005;1.9824e+001;
   128.041;-8.8839e-005;1.9837e+001;
   130.043;-1.0083e-004;1.9835e+001;
   132.046;-1.0726e-004;1.9822e+001;
   134.048;-1.0645e-004;1.9826e+001;
   136.051;-1.0747e-004;1.9828e+001;
   138.053;-1.0314e-004;1.9808e+001;
   140.056;-1.0859e-004;1.9830e+001;
   142.058;-9.3960e-005;1.9816e+001;
   144.061;-1.0043e-004;1.9825e+001;
   146.063;-9.2755e-005;1.9824e+001;
   148.005;-1.0830e-004;1.9838e+001;
   150.008;-1.0175e-004;1.9825e+001;
   152.010;-9.5144e-005;1.9834e+001;
   154.013;-1.0445e-004;1.9835e+001;
   156.015;-1.0560e-004;1.9823e+001;
   158.018;-1.1386e-004;1.9839e+001;
   160.020;-1.1045e-004;1.9829e+001;PBS-10X
   162.023;-1.1156e-004;1.9832e+001;
   164.026;-9.9223e-005;1.9835e+001;
   166.028;-8.2265e-005;1.9842e+001;
   168.031;-6.9856e-005;1.9835e+001;
   170.033;-3.5777e-005;1.9829e+001;
   172.036;4.1931e-005;1.9821e+001;
   174.038;1.4945e-004;1.9848e+001;
   176.041;3.0571e-004;1.9837e+001;
   178.043;4.8417e-004;1.9832e+001;
   180.046;6.7944e-004;1.9832e+001;
   182.048;8.8279e-004;1.9811e+001;
   184.051;1.0319e-003;1.9840e+001;
   186.053;1.1838e-003;1.9832e+001;
   188.056;1.3098e-003;1.9821e+001;
   190.059;1.4078e-003;1.9814e+001;
   192.061;1.4887e-003;1.9819e+001;
   194.003;1.5532e-003;1.9820e+001;
   196.005;1.6279e-003;1.9821e+001;
   198.008;1.6763e-003;1.9831e+001;
   200.011;1.7080e-003;1.9813e+001;
   202.013;1.7456e-003;1.9796e+001;
