Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;1.8995e+001;
     2.002;-9.8611e-006;1.8993e+001;
     4.005;2.3923e-005;1.8989e+001;
     6.068;2.7803e-005;1.8995e+001;
     8.010;3.9786e-005;1.9003e+001;
    10.012;4.2357e-005;1.8997e+001;
    12.015;6.5035e-005;1.8993e+001;
    14.017;7.8442e-005;1.8990e+001;
    16.141;7.1351e-005;1.8999e+001;
    18.022;8.4180e-005;1.8996e+001;
    20.025;9.2150e-005;1.8993e+001;
    22.027;9.0971e-005;1.8997e+001;
    24.030;1.0566e-004;1.9006e+001;
    26.033;1.1947e-004;1.8991e+001;
    28.035;1.1731e-004;1.8997e+001;
    29.977;1.3333e-004;1.9006e+001;
    31.979;1.4646e-004;1.9006e+001;
    33.982;1.3752e-004;1.8993e+001;
    35.984;1.5453e-004;1.9001e+001;
    37.987;1.5450e-004;1.8990e+001;
    39.990;1.5814e-004;1.8999e+001;
    41.992;1.6945e-004;1.9021e+001;
    43.995;1.4547e-004;1.9001e+001;
    45.997;1.8146e-004;1.9001e+001;
    48.000;1.7523e-004;1.9005e+001;
    50.063;1.8668e-004;1.9003e+001;
    52.005;1.9292e-004;1.9003e+001;
    54.007;1.9472e-004;1.9021e+001;
    56.010;1.9692e-004;1.9017e+001;
    58.073;2.0111e-004;1.9019e+001;
    60.015;1.8902e-004;1.9028e+001;
    62.017;1.8421e-004;1.9022e+001;
    64.020;2.1365e-004;1.9015e+001;
    66.023;1.9370e-004;1.9002e+001;
    68.025;1.8858e-004;1.9028e+001;
    70.028;2.0093e-004;1.9019e+001;
    72.030;2.1241e-004;1.9022e+001;
    74.033;2.2389e-004;1.9019e+001;
    76.096;2.1747e-004;1.9025e+001;
    77.977;2.1159e-004;1.9012e+001;
    79.980;1.9991e-004;1.9021e+001;
    81.982;2.0365e-004;1.9022e+001;
    83.985;2.3620e-004;1.9032e+001;
    85.987;2.2997e-004;1.9004e+001;
    87.990;2.1198e-004;1.9006e+001;
    89.992;2.1881e-004;1.9017e+001;
    91.995;2.2642e-004;1.9011e+001;
    93.997;2.2607e-004;1.9011e+001;
    96.000;2.2644e-004;1.9004e+001;
    98.002;2.2037e-004;1.9000e+001;
   100.005;2.1962e-004;1.9008e+001;
   102.007;2.1482e-004;1.9011e+001;
   104.010;2.1755e-004;1.9012e+001;
   106.013;2.3050e-004;1.9003e+001;
   108.076;2.1568e-004;1.8997e+001;
   110.018;2.3449e-004;1.9016e+001;
   112.020;2.2622e-004;1.9005e+001;
   114.023;2.2618e-004;1.9009e+001;
   116.025;2.3075e-004;1.9006e+001;
   118.028;2.1515e-004;1.9014e+001;
   120.030;2.2052e-004;1.8999e+001;
   122.033;2.2892e-004;1.9011e+001;
   124.035;2.3012e-004;1.9003e+001;
   125.977;2.1614e-004;1.8987e+001;
   127.980;2.1730e-004;1.8996e+001;
   129.982;2.1773e-004;1.9005e+001;
   131.985;2.1935e-004;1.9006e+001;
   133.987;2.5194e-004;1.8999e+001;
   135.990;2.2980e-004;1.9003e+001;
   137.992;2.2540e-004;1.8999e+001;
   139.995;2.3398e-004;1.8996e+001;
   141.998;2.2369e-004;1.8995e+001;
   144.061;2.3622e-004;1.8990e+001;
   146.003;2.3806e-004;1.8990e+001;
   148.005;2.2655e-004;1.8978e+001;
   150.068;2.3917e-004;1.8990e+001;
   152.010;2.3081e-004;1.9003e+001;
   154.013;2.2882e-004;1.8996e+001;
   156.015;2.3466e-004;1.8986e+001;
   158.018;2.4369e-004;1.8990e+001;
