Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;1.8875e+001;
     2.063;1.4938e-005;1.8871e+001;
     4.126;-4.0232e-006;1.8886e+001;
     6.068;-5.1059e-006;1.8871e+001;
     8.071;3.8288e-005;1.8876e+001;
    10.134;-1.0887e-005;1.8880e+001;
    12.076;-1.5830e-005;1.8865e+001;
    14.078;3.0428e-005;1.8875e+001;
    16.142;-1.3659e-005;1.8860e+001;
    18.083;-9.1570e-006;1.8868e+001;
    20.086;-2.5682e-005;1.8868e+001;
    22.149;-1.8512e-005;1.8875e+001;
    24.091;4.2885e-005;1.8864e+001;
    26.094;4.2138e-005;1.8873e+001;
    28.096;-2.0887e-005;1.8872e+001;
    30.099;-3.3432e-005;1.8866e+001;
    32.101;-3.2970e-005;1.8877e+001;
    34.164;-2.9005e-005;1.8865e+001;
    36.106;1.3102e-005;1.8884e+001;
    38.109;-4.1153e-005;1.8871e+001;
    40.111;1.1314e-005;1.8857e+001;
    42.114;2.5839e-005;1.8861e+001;
    44.116;-4.7915e-005;1.8862e+001;
    46.119;3.8830e-006;1.8885e+001;
    48.121;8.3237e-006;1.8866e+001;
    50.124;-4.6773e-005;1.8865e+001;
    52.126;1.3955e-005;1.8841e+001;
    54.129;9.0274e-006;1.8865e+001;
    56.132;-1.4246e-006;1.8849e+001;
    58.195;5.5417e-006;1.8854e+001;
    60.137;2.3901e-006;1.8854e+001;
    62.078;-5.3243e-005;1.8865e+001;
    64.142;4.0895e-006;1.8854e+001;
    66.084;-3.6253e-006;1.8846e+001;
    68.086;-4.8884e-006;1.8856e+001;
    70.089;-5.9463e-006;1.8849e+001;
    72.091;-2.0649e-005;1.8846e+001;
    74.094;-5.9572e-006;1.8843e+001;
    76.096;-1.3211e-005;1.8844e+001;
    78.099;-2.0495e-006;1.8849e+001;
    80.101;8.0244e-006;1.8850e+001;
    82.104;-5.1462e-006;1.8854e+001;
    84.106;-1.4469e-005;1.8844e+001;
    86.109;-4.9496e-006;1.8856e+001;
    88.111;-5.8822e-005;1.8857e+001;
    90.114;-4.9813e-005;1.8868e+001;
    92.177;8.6562e-006;1.8878e+001;
    94.119;-7.9000e-005;1.8864e+001;
    96.122;-8.4949e-006;1.8872e+001;
    98.124;-4.3205e-006;1.8875e+001;
   100.127;-8.8201e-007;1.8876e+001;
   102.129;-1.8068e-005;1.8886e+001;
   104.132;-8.2053e-006;1.8887e+001;
   106.134;-1.8907e-005;1.8871e+001;
   108.137;-6.6037e-006;1.8875e+001;
   110.079;-1.9721e-005;1.8883e+001;
   112.081;-2.7081e-005;1.8878e+001;
   114.084;-3.1594e-005;1.8881e+001;
   116.086;-4.3787e-005;1.8886e+001;
   118.089;-4.5904e-005;1.8876e+001;
   120.091;-2.8693e-005;1.8897e+001;
   122.094;-3.9776e-005;1.8891e+001;
   124.096;-3.1054e-005;1.8883e+001;
   126.099;-3.8197e-005;1.8895e+001;
   128.162;-9.6805e-005;1.8897e+001;
   130.104;-3.6836e-005;1.8879e+001;
   132.107;-3.4481e-005;1.8906e+001;
   134.109;-9.4711e-005;1.8889e+001;
   136.112;-8.1115e-005;1.8894e+001;
   138.114;-4.9642e-005;1.8897e+001;
   140.177;-4.3145e-005;1.8901e+001;
   142.119;-9.9707e-005;1.8900e+001;
   144.122;-1.0232e-004;1.8893e+001;
   146.185;-6.7330e-005;1.8876e+001;
   148.127;-7.0092e-005;1.8879e+001;
   150.129;-7.1390e-005;1.8891e+001;
   152.132;-7.1578e-005;1.8890e+001;
   154.134;-4.2644e-005;1.8878e+001;
   156.076;-8.7980e-005;1.8877e+001;
   158.140;-9.4720e-005;1.8878e+001;
   160.081;-3.0352e-005;1.8892e+001;
   162.084;-2.0033e-005;1.8887e+001;
   164.086;-7.1840e-005;1.8882e+001;
   166.089;-4.0119e-005;1.8876e+001;
   168.092;-1.3735e-005;1.8881e+001;
   170.094;-1.2280e-005;1.8869e+001;
   172.097;-2.2404e-005;1.8861e+001;
   174.099;-3.7701e-005;1.8865e+001;
   176.162;-8.6652e-005;1.8861e+001;
   178.104;-4.3893e-005;1.8854e+001;
   180.107;-6.8682e-005;1.8859e+001;PBS-10X
   182.170;-1.0658e-005;1.8865e+001;
   184.112;3.9523e-005;1.8854e+001;
   186.114;1.2347e-004;1.8854e+001;
   188.117;2.3357e-004;1.8854e+001;
   190.119;3.5488e-004;1.8852e+001;
   192.122;5.0377e-004;1.8865e+001;
   194.185;6.8379e-004;1.8842e+001;
   196.127;8.5415e-004;1.8867e+001;
   198.130;1.0021e-003;1.8865e+001;
   200.132;1.1109e-003;1.8847e+001;
   202.135;1.2205e-003;1.8872e+001;
   204.076;1.3067e-003;1.8861e+001;
   206.079;1.3828e-003;1.8864e+001;
   208.082;1.5185e-003;1.8857e+001;
   210.084;1.5601e-003;1.8860e+001;
   212.087;1.6037e-003;1.8868e+001;
   214.150;1.6347e-003;1.8851e+001;
   216.092;1.6745e-003;1.8850e+001;
   218.094;1.7070e-003;1.8853e+001;
   220.157;1.7204e-003;1.8852e+001;
   222.099;1.7386e-003;1.8854e+001;
   224.102;1.7531e-003;1.8837e+001;
   226.104;1.7622e-003;1.8836e+001;
   228.107;1.7882e-003;1.8858e+001;
   230.109;1.8014e-003;1.8855e+001;
   232.112;1.8007e-003;1.8852e+001;
   234.175;1.8180e-003;1.8868e+001;
   236.117;1.8227e-003;1.8849e+001;
   238.120;1.8282e-003;1.8856e+001;
   240.122;1.8379e-003;1.8854e+001;
   242.125;1.8398e-003;1.8855e+001;
   244.127;1.8489e-003;1.8861e+001;
   246.130;1.8576e-003;1.8845e+001;
   248.132;1.8500e-003;1.8851e+001;
   250.135;1.8517e-003;1.8846e+001;
   252.077;1.8604e-003;1.8861e+001;
   254.140;1.8573e-003;1.8853e+001;
   256.082;1.8520e-003;1.8853e+001;
   258.084;1.8683e-003;1.8836e+001;
   260.087;1.8617e-003;1.8853e+001;
   262.089;1.8612e-003;1.8847e+001;
   264.092;1.8647e-003;1.8855e+001;
   266.094;1.8727e-003;1.8832e+001;
   268.097;1.8678e-003;1.8854e+001;
   270.099;1.8684e-003;1.8855e+001;
   272.102;1.8744e-003;1.8847e+001;
   274.105;1.8635e-003;1.8869e+001;
   276.107;1.8790e-003;1.8856e+001;
   278.110;1.8742e-003;1.8864e+001;
   280.112;1.8884e-003;1.8863e+001;
   282.115;1.8931e-003;1.8854e+001;
   284.117;1.8904e-003;1.8844e+001;
   286.120;1.8809e-003;1.8846e+001;
   288.122;1.8758e-003;1.8841e+001;
   290.125;1.8860e-003;1.8844e+001;
   292.127;1.8997e-003;1.8845e+001;
   294.130;1.8867e-003;1.8847e+001;
   296.132;1.8807e-003;1.8847e+001;
   298.074;1.8960e-003;1.8842e+001;
   300.077;1.8919e-003;1.8857e+001;
   302.079;1.9002e-003;1.8868e+001;
   304.082;1.8773e-003;1.8852e+001;
   306.084;1.8851e-003;1.8866e+001;
   308.087;1.8900e-003;1.8863e+001;
   310.150;1.8905e-003;1.8866e+001;
   312.092;1.8898e-003;1.8881e+001;
   314.095;1.8816e-003;1.8865e+001;
   316.097;1.8911e-003;1.8881e+001;
   318.100;1.9015e-003;1.8863e+001;
