Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;2.0600e+001;
     1.942;1.6783e-005;2.0611e+001;
     3.944;-6.6064e-006;2.0610e+001;
     6.007;-1.2270e-005;2.0619e+001;
     7.949;-1.8694e-005;2.0633e+001;
     9.952;-4.2966e-005;2.0636e+001;
    12.015;-6.6110e-005;2.0641e+001;
    13.957;-8.0015e-005;2.0652e+001;
    15.959;-1.1062e-004;2.0658e+001;
    18.023;-1.3059e-004;2.0673e+001;
    19.965;-1.5675e-004;2.0672e+001;
    21.967;-1.8129e-004;2.0651e+001;
    24.030;-1.7911e-004;2.0686e+001;
    25.972;-2.1087e-004;2.0688e+001;
    27.975;-2.1604e-004;2.0704e+001;
    29.977;-2.0044e-004;2.0700e+001;
    31.980;-2.1872e-004;2.0712e+001;
    33.982;-2.2873e-004;2.0700e+001;
    36.046;-2.2914e-004;2.0719e+001;
    37.987;-2.3453e-004;2.0717e+001;
    39.990;-2.3497e-004;2.0724e+001;
    41.992;-2.4824e-004;2.0737e+001;
    43.995;-2.5531e-004;2.0742e+001;
    45.998;-2.5197e-004;2.0741e+001;
    48.000;-2.6287e-004;2.0766e+001;
    50.063;-2.7711e-004;2.0759e+001;
    52.005;-2.8373e-004;2.0773e+001;
    54.008;-2.8472e-004;2.0767e+001;
    56.010;-2.7928e-004;2.0775e+001;
    58.013;-2.8716e-004;2.0778e+001;
    60.015;-2.7841e-004;2.0787e+001;
    62.018;-2.7829e-004;2.0785e+001;
    64.020;-2.7299e-004;2.0795e+001;
    66.084;-2.8279e-004;2.0797e+001;
    68.025;-2.8991e-004;2.0817e+001;
    70.028;-2.7537e-004;2.0822e+001;
    72.031;-2.7707e-004;2.0830e+001;
    74.094;-2.7445e-004;2.0831e+001;
    76.036;-2.6701e-004;2.0853e+001;
    78.038;-2.7303e-004;2.0854e+001;
    80.041;-2.7365e-004;2.0840e+001;
    82.043;-2.7781e-004;2.0852e+001;
    83.985;-2.7303e-004;2.0861e+001;
    85.988;-2.8428e-004;2.0879e+001;
    87.990;-2.7648e-004;2.0866e+001;
    89.993;-2.9348e-004;2.0889e+001;
    91.995;-2.9360e-004;2.0895e+001;
    93.998;-2.9524e-004;2.0907e+001;
    96.000;-2.9291e-004;2.0891e+001;
    98.003;-2.8693e-004;2.0897e+001;
   100.005;-2.8895e-004;2.0907e+001;
   102.069;-2.9225e-004;2.0917e+001;
   104.010;-2.8865e-004;2.0917e+001;
   106.013;-2.9920e-004;2.0927e+001;
   108.015;-2.8261e-004;2.0926e+001;
   110.018;-2.8638e-004;2.0932e+001;
   112.081;-2.9041e-004;2.0940e+001;
   114.084;-2.8339e-004;2.0951e+001;
   116.026;-2.9367e-004;2.0962e+001;
   118.028;-2.7986e-004;2.0954e+001;
   120.031;-2.7363e-004;2.0966e+001;
   122.033;-2.7720e-004;2.0958e+001;
   124.036;-2.7730e-004;2.0980e+001;
   126.038;-2.7479e-004;2.0973e+001;
   127.980;-2.5923e-004;2.0973e+001;
   129.983;-2.7698e-004;2.0999e+001;
   131.985;-2.8473e-004;2.0993e+001;
   133.988;-2.8369e-004;2.1007e+001;
   135.990;-2.7307e-004;2.1015e+001;
   137.993;-2.7345e-004;2.1015e+001;
   140.056;-2.7002e-004;2.1015e+001;
   141.998;-2.7893e-004;2.1013e+001;
   144.000;-2.7815e-004;2.1019e+001;
   146.003;-2.7839e-004;2.1025e+001;
   148.006;-2.7916e-004;2.1036e+001;
   150.008;-2.7329e-004;2.1032e+001;
