Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;2.0172e+001;
     2.002;-7.3910e-006;2.0175e+001;
     4.005;-1.7891e-006;2.0165e+001;
     6.007;-4.2256e-006;2.0159e+001;
     8.010;-7.0574e-006;2.0172e+001;
    10.012;-3.6488e-006;2.0171e+001;
    12.015;6.9877e-006;2.0173e+001;
    14.017;9.5327e-006;2.0160e+001;
    16.081;1.0775e-005;2.0177e+001;
    18.022;2.7922e-006;2.0181e+001;
    20.086;-2.8265e-006;2.0171e+001;
    22.027;-3.9464e-006;2.0183e+001;
    24.091;-1.7069e-006;2.0178e+001;
    26.033;-1.1829e-006;2.0180e+001;
    28.096;2.5906e-006;2.0188e+001;
    30.038;8.6646e-006;2.0189e+001;
    32.101;2.3447e-006;2.0183e+001;
    34.043;-6.7854e-007;2.0186e+001;
    36.106;1.7874e-006;2.0187e+001;
    38.048;-2.3431e-006;2.0201e+001;
    40.111;2.4021e-006;2.0200e+001;
    42.053;5.2065e-007;2.0191e+001;
    44.116;-2.4764e-006;2.0194e+001;
    46.058;3.5268e-006;2.0191e+001;
    48.121;3.5770e-006;2.0191e+001;
    50.063;5.7526e-006;2.0198e+001;
    52.126;9.5214e-006;2.0202e+001;
    54.068;8.3522e-006;2.0198e+001;
    56.071;3.7492e-006;2.0202e+001;
    58.073;4.0837e-006;2.0204e+001;
    60.076;3.3429e-006;2.0200e+001;
    62.017;2.4537e-006;2.0195e+001;
    64.020;3.1753e-006;2.0211e+001;
    66.023;1.2119e-006;2.0224e+001;
    68.025;6.1596e-006;2.0224e+001;
    70.028;4.9732e-006;2.0219e+001;
    72.030;-1.7356e-006;2.0226e+001;
    74.033;4.8338e-006;2.0226e+001;
    76.035;1.0323e-005;2.0229e+001;
    78.038;1.4874e-005;2.0237e+001;
    80.101;3.5035e-006;2.0226e+001;
    82.043;3.2678e-006;2.0241e+001;
    84.106;3.4657e-006;2.0247e+001;
    86.048;3.9721e-006;2.0247e+001;
    88.050;3.1421e-006;2.0248e+001;
    90.053;-1.2368e-006;2.0251e+001;
    92.056;2.9674e-006;2.0250e+001;
    94.058;6.5940e-006;2.0248e+001;
    96.061;7.1047e-006;2.0261e+001;
    98.063;6.4269e-006;2.0264e+001;
   100.126;1.0061e-005;2.0253e+001;
   102.068;1.1784e-005;2.0263e+001;
   104.071;6.5049e-006;2.0267e+001;
   106.073;9.4096e-006;2.0255e+001;
   108.076;4.1254e-006;2.0250e+001;
   110.018;6.3588e-006;2.0256e+001;
   112.020;6.6522e-006;2.0257e+001;
   114.023;8.0203e-006;2.0254e+001;
   116.025;5.9035e-006;2.0260e+001;
   118.028;5.1220e-006;2.0268e+001;
   120.030;6.0361e-006;2.0262e+001;
   122.033;1.1660e-005;2.0251e+001;
   124.035;7.5172e-006;2.0253e+001;
   126.038;5.6890e-006;2.0261e+001;
   128.040;7.3917e-006;2.0275e+001;
   130.043;7.4333e-006;2.0260e+001;
   132.046;1.2355e-005;2.0279e+001;
   134.048;1.2815e-005;2.0283e+001;
   136.051;1.4262e-005;2.0278e+001;
   138.053;6.4509e-006;2.0297e+001;
   140.056;7.6388e-006;2.0275e+001;
   142.058;8.7752e-006;2.0287e+001;
   144.061;1.0353e-005;2.0284e+001;
   146.063;1.1706e-005;2.0277e+001;
   148.066;1.5643e-005;2.0300e+001;
   150.068;1.3497e-005;2.0285e+001;
   152.071;6.9726e-006;2.0303e+001;
   154.073;7.7244e-006;2.0285e+001;
   156.076;7.3231e-006;2.0292e+001;
   158.018;1.6117e-005;2.0292e+001;
   160.081;1.0145e-005;2.0294e+001;
   162.023;1.1623e-005;2.0314e+001;
   164.086;4.2482e-006;2.0285e+001;PBS-10X
   166.028;1.5740e-005;2.0294e+001;
   168.091;3.8395e-005;2.0307e+001;
   170.033;8.0768e-005;2.0314e+001;
   172.096;1.6147e-004;2.0309e+001;
   174.038;2.8402e-004;2.0310e+001;
   176.101;4.3531e-004;2.0323e+001;
   178.043;6.1538e-004;2.0310e+001;
   180.046;8.1572e-004;2.0307e+001;
   182.048;1.0057e-003;2.0314e+001;
   184.051;1.1845e-003;2.0311e+001;
   186.053;1.3431e-003;2.0338e+001;
   188.056;1.4734e-003;2.0330e+001;
   190.119;1.5884e-003;2.0330e+001;
   192.061;1.6804e-003;2.0333e+001;
   194.064;1.7550e-003;2.0340e+001;
   196.066;1.8191e-003;2.0340e+001;
   198.069;1.8643e-003;2.0342e+001;
   200.071;1.9020e-003;2.0339e+001;
   202.074;1.9354e-003;2.0353e+001;
   204.016;1.9680e-003;2.0356e+001;
   206.018;1.9892e-003;2.0355e+001;
   208.021;2.0142e-003;2.0354e+001;
   210.084;2.0230e-003;2.0366e+001;
   212.026;2.0390e-003;2.0359e+001;
   214.028;2.0446e-003;2.0369e+001;
   216.031;2.0565e-003;2.0370e+001;
   218.033;2.0661e-003;2.0359e+001;
   220.036;2.0703e-003;2.0359e+001;
   222.038;2.0827e-003;2.0360e+001;
   224.041;2.0940e-003;2.0376e+001;
   226.043;2.1099e-003;2.0372e+001;
   228.107;2.1074e-003;2.0365e+001;
   230.048;2.1069e-003;2.0368e+001;
   232.051;2.1113e-003;2.0388e+001;
   234.054;2.1248e-003;2.0384e+001;
   236.056;2.1171e-003;2.0395e+001;
   238.059;2.1175e-003;2.0395e+001;
   240.122;2.1392e-003;2.0392e+001;
   242.064;2.1365e-003;2.0398e+001;
   244.066;2.1378e-003;2.0408e+001;
   246.069;2.1331e-003;2.0419e+001;
   248.071;2.1371e-003;2.0417e+001;
   250.135;2.1424e-003;2.0433e+001;
   252.016;2.1550e-003;2.0419e+001;
   254.018;2.1457e-003;2.0407e+001;
   256.021;2.1611e-003;2.0425e+001;
   258.023;2.1589e-003;2.0442e+001;
   260.026;2.1590e-003;2.0433e+001;
   262.028;2.1535e-003;2.0442e+001;
   264.031;2.1503e-003;2.0435e+001;
   266.094;2.1554e-003;2.0443e+001;
   268.036;2.1532e-003;2.0434e+001;
   270.039;2.1564e-003;2.0448e+001;
   272.041;2.1739e-003;2.0455e+001;
   274.044;2.1667e-003;2.0461e+001;
   276.046;2.1615e-003;2.0457e+001;
   278.049;2.1601e-003;2.0460e+001;
   280.051;2.1596e-003;2.0473e+001;
   282.054;2.1660e-003;2.0464e+001;
   284.056;2.1693e-003;2.0451e+001;
   286.119;2.1604e-003;2.0460e+001;
   288.061;2.1615e-003;2.0460e+001;
   290.064;2.1697e-003;2.0471e+001;
   292.066;2.1684e-003;2.0481e+001;
   294.069;2.1844e-003;2.0463e+001;
   296.071;2.1831e-003;2.0472e+001;
   298.013;2.1846e-003;2.0464e+001;
   300.077;2.1797e-003;2.0467e+001;
