Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;1.9756e+001;
     2.003;-5.8492e-007;1.9747e+001;
     4.005;6.1009e-006;1.9742e+001;
     6.008;1.2498e-005;1.9749e+001;
     8.010;1.0309e-005;1.9737e+001;
    10.013;1.0177e-006;1.9756e+001;
    12.015;-1.9749e-007;1.9740e+001;
    14.018;-2.3786e-006;1.9757e+001;
    16.021;4.4334e-006;1.9757e+001;
    18.084;2.3986e-006;1.9755e+001;
    20.026;-5.2488e-007;1.9743e+001;
    22.089;8.6680e-006;1.9756e+001;
    24.091;2.7418e-007;1.9760e+001;
    26.094;-5.3110e-006;1.9766e+001;
    28.096;1.1463e-005;1.9756e+001;
    30.160;6.7516e-006;1.9758e+001;
    32.041;9.1420e-006;1.9757e+001;
    34.043;1.1700e-006;1.9746e+001;
    36.046;1.5314e-006;1.9756e+001;
    38.048;3.1842e-006;1.9774e+001;
    40.051;5.0791e-006;1.9767e+001;
    42.053;-3.1799e-006;1.9753e+001;
    44.056;-6.1501e-006;1.9774e+001;
    46.059;-4.2190e-006;1.9762e+001;
    48.061;4.9220e-006;1.9782e+001;
    50.064;6.2757e-006;1.9768e+001;
    52.066;7.8780e-006;1.9776e+001;
    54.069;7.6891e-006;1.9772e+001;
    56.071;1.3641e-006;1.9791e+001;
    58.074;-5.7475e-006;1.9773e+001;
    60.076;4.9607e-006;1.9779e+001;
    62.079;3.0149e-006;1.9777e+001;
    64.081;5.0357e-006;1.9789e+001;
    66.084;7.5678e-006;1.9777e+001;
    68.086;6.6526e-008;1.9790e+001;
    70.089;3.2834e-006;1.9791e+001;
    72.092;1.0707e-005;1.9796e+001;
    74.094;-3.4722e-006;1.9783e+001;
    76.097;-5.2098e-006;1.9779e+001;
    78.099;-4.5444e-006;1.9782e+001;
    80.041;1.3606e-007;1.9782e+001;
    82.044;1.8179e-006;1.9789e+001;
    84.046;6.6664e-006;1.9790e+001;
    86.049;3.9719e-006;1.9790e+001;
    88.051;1.1623e-005;1.9786e+001;
    90.054;3.2107e-006;1.9783e+001;
    92.056;7.6077e-006;1.9790e+001;
    94.059;9.5293e-006;1.9800e+001;
    96.061;4.8173e-006;1.9796e+001;
    98.125;8.9706e-006;1.9806e+001;
   100.066;2.9112e-006;1.9780e+001;
   102.069;7.6782e-006;1.9796e+001;
   104.071;2.6856e-006;1.9789e+001;
   106.074;7.7422e-006;1.9797e+001;
   108.076;4.3405e-006;1.9793e+001;
   110.079;2.9789e-006;1.9790e+001;
   112.082;6.8264e-006;1.9809e+001;
   114.084;6.0382e-006;1.9809e+001;
   116.087;1.0603e-005;1.9799e+001;
   118.089;7.0137e-006;1.9786e+001;
   120.092;1.2222e-005;1.9784e+001;
   122.155;5.4608e-006;1.9788e+001;
   124.097;5.5786e-006;1.9808e+001;
   126.039;2.2519e-006;1.9796e+001;
   128.041;1.0925e-005;1.9801e+001;
   130.044;1.4559e-006;1.9795e+001;
   132.046;-2.9129e-006;1.9788e+001;
   134.049;-7.1165e-006;1.9788e+001;
   136.051;1.7507e-005;1.9795e+001;
   138.115;8.4046e-006;1.9794e+001;
   140.056;-5.0327e-007;1.9798e+001;
   142.059;1.0934e-005;1.9805e+001;
   144.122;7.1551e-006;1.9810e+001;
   146.064;5.3645e-006;1.9785e+001;
   148.067;7.7170e-006;1.9799e+001;
   150.069;-7.6661e-008;1.9803e+001;
   152.072;-8.0993e-006;1.9801e+001;
   154.074;1.6145e-005;1.9796e+001;
   156.077;9.7225e-006;1.9805e+001;
   158.079;1.2811e-005;1.9796e+001;
   160.142;8.8874e-006;1.9798e+001;
   162.084;1.3122e-005;1.9795e+001;
   164.087;6.8930e-006;1.9806e+001;PBS-10X
   166.150;1.8246e-005;1.9789e+001;
   168.092;2.7972e-005;1.9801e+001;
   170.094;7.6114e-005;1.9784e+001;
   172.097;1.5279e-004;1.9787e+001;
   174.039;2.7227e-004;1.9796e+001;
   176.041;4.4407e-004;1.9783e+001;
   178.044;6.2674e-004;1.9777e+001;
   180.046;8.1616e-004;1.9772e+001;
   182.110;1.0063e-003;1.9779e+001;
   184.052;1.1810e-003;1.9763e+001;
   186.054;1.3261e-003;1.9763e+001;
   188.057;1.4771e-003;1.9757e+001;
   190.059;1.5838e-003;1.9766e+001;
   192.062;1.6629e-003;1.9766e+001;
   194.064;1.7319e-003;1.9750e+001;
   196.127;1.7907e-003;1.9735e+001;
   198.069;1.8420e-003;1.9742e+001;
   200.072;1.8758e-003;1.9761e+001;
   202.074;1.9121e-003;1.9755e+001;
   204.077;1.9504e-003;1.9747e+001;
   206.079;1.9812e-003;1.9756e+001;
   208.082;1.9866e-003;1.9751e+001;
   210.084;2.0065e-003;1.9737e+001;
   212.087;2.0254e-003;1.9756e+001;
   214.090;2.0345e-003;1.9752e+001;
   216.092;2.0428e-003;1.9757e+001;
   218.095;2.0540e-003;1.9756e+001;
   220.097;2.0625e-003;1.9744e+001;
   222.039;2.0698e-003;1.9761e+001;
   224.102;2.0740e-003;1.9748e+001;
   226.044;2.0909e-003;1.9751e+001;
   228.047;2.0961e-003;1.9753e+001;
   230.049;2.0983e-003;1.9731e+001;
   232.052;2.1062e-003;1.9739e+001;
   234.054;2.1073e-003;1.9744e+001;
   236.057;2.1172e-003;1.9728e+001;
   238.059;2.1185e-003;1.9730e+001;
   240.062;2.1256e-003;1.9741e+001;
   242.125;2.1225e-003;1.9717e+001;
   244.067;2.1313e-003;1.9728e+001;
   246.069;2.1337e-003;1.9732e+001;
   248.133;2.1344e-003;1.9714e+001;
   250.075;2.1370e-003;1.9724e+001;
   252.077;2.1394e-003;1.9723e+001;
   254.140;2.1529e-003;1.9728e+001;
   256.082;2.1439e-003;1.9715e+001;
   258.085;2.1434e-003;1.9714e+001;
   260.148;2.1493e-003;1.9723e+001;
   262.090;2.1514e-003;1.9722e+001;
   264.092;2.1557e-003;1.9705e+001;
   266.155;2.1604e-003;1.9707e+001;
   268.097;2.1620e-003;1.9693e+001;
   270.039;2.1474e-003;1.9706e+001;
   272.102;2.1573e-003;1.9695e+001;
   274.044;2.1560e-003;1.9711e+001;
   276.047;2.1575e-003;1.9709e+001;
