Time; Refractive Index; Temperature; Comment
     0.000;0.0000e+000;2.1696e+001;
     2.003;-1.0960e-006;2.1693e+001;
     4.005;2.1869e-006;2.1697e+001;
     6.069;-3.0676e-007;2.1714e+001;
     8.132;4.2729e-007;2.1700e+001;
    10.074;-1.4801e-005;2.1699e+001;
    12.076;1.0519e-006;2.1693e+001;
    14.079;-1.0112e-005;2.1697e+001;
    16.081;-1.0863e-005;2.1692e+001;
    18.084;-2.7863e-005;2.1686e+001;
    20.086;-3.2098e-005;2.1685e+001;
    22.089;-2.9449e-005;2.1678e+001;
    24.091;-3.5556e-005;2.1666e+001;
    26.155;-2.9251e-005;2.1689e+001;
    28.096;-3.5756e-005;2.1687e+001;
    30.099;-4.8313e-005;2.1672e+001;
    32.101;-4.9875e-005;2.1669e+001;
    34.104;-4.5503e-005;2.1660e+001;
    36.107;-4.6466e-005;2.1654e+001;
    38.109;-4.8798e-005;2.1643e+001;
    40.112;-6.0678e-005;2.1663e+001;
    42.114;-5.8251e-005;2.1634e+001;
    44.056;-6.1017e-005;2.1658e+001;
    46.059;-5.7391e-005;2.1642e+001;
    48.061;-5.8095e-005;2.1637e+001;
    50.064;-6.6966e-005;2.1646e+001;
    52.066;-6.9918e-005;2.1637e+001;
    54.069;-7.0493e-005;2.1634e+001;
    56.071;-7.4196e-005;2.1610e+001;
    58.074;-8.8152e-005;2.1631e+001;
    60.076;-8.1822e-005;2.1619e+001;
    62.079;-8.4301e-005;2.1629e+001;
    64.081;-9.2228e-005;2.1599e+001;
    66.084;-9.0490e-005;2.1616e+001;
    68.086;-8.9705e-005;2.1599e+001;
    70.089;-8.4413e-005;2.1611e+001;
    72.092;-1.0309e-004;2.1590e+001;
    74.094;-9.5019e-005;2.1610e+001;
    76.097;-1.0327e-004;2.1600e+001;
    78.099;-8.8920e-005;2.1601e+001;
    80.102;-1.0415e-004;2.1586e+001;
    82.104;-1.0708e-004;2.1579e+001;
    84.107;-1.1042e-004;2.1567e+001;
    86.109;-1.1118e-004;2.1564e+001;
    88.112;-1.1481e-004;2.1557e+001;
    90.114;-1.1230e-004;2.1539e+001;
    92.056;-1.0450e-004;2.1547e+001;
    94.059;-1.0916e-004;2.1540e+001;
    96.061;-1.1118e-004;2.1526e+001;
    98.064;-1.1926e-004;2.1535e+001;
   100.066;-1.2654e-004;2.1520e+001;
   102.069;-1.3016e-004;2.1517e+001;
   104.071;-1.2529e-004;2.1509e+001;
   106.074;-1.3359e-004;2.1514e+001;
   108.076;-1.3185e-004;2.1498e+001;
